imdb_id,title,vote_average,vote_count,release_date,original_language,overview,popularity,genres,production_companies,release_year,cast,budget_crore,collection_crore,directors
tt91000010,Shadow Mission 603,5.0,4004,2026-05-22,kn,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",52.13,Thriller,T-Series,2000,Salman Khan,72.91,31.45,Anurag Kashyap
tt91000011,Eternal Border 249,5.6,74827,2025-08-12,hi,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",61.01,Sci-Fi,Sun Pictures,2023,Alia Bhatt,170.57,391.59,Nelson Dilipkumar
tt91000012,Dark Mission 197,8.1,129792,2015-03-22,kn,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",75.12,Romance,Yash Raj Films,2023,Suriya,208.24,575.54,Sanjay Leela Bhansali
tt91000013,Golden Echo 498,9.0,236023,2010-08-08,kn,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",90.36,Comedy,Excel Entertainment,2002,Vijay,178.85,1499.98,Nelson Dilipkumar
tt91000014,Hidden Mission 992,5.8,141631,2008-07-08,ta,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",51.75,Action,Dharma Productions,2004,Kareena Kapoor,255.39,582.05,S. S. Rajamouli
tt91000015,Burning Mission 414,6.0,82089,2003-01-18,te,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",58.5,Sci-Fi,Sun Pictures,2019,Prabhas,287.18,423.46,Mani Ratnam
tt91000016,Royal Destiny 952,6.3,6715,2013-06-16,te,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",72.58,Drama,Hombale Films,2004,Suriya,75.8,29.23,Lokesh Kanagaraj
tt91000017,Shadow Kingdom 310,3.8,22868,2019-08-28,kn,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",35.66,Drama,Mythri Movie Makers,2005,Kiara Advani,467.93,131.39,Priyadarshan
tt91000018,Crimson Dream 650,3.9,40532,2015-05-19,ml,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",34.16,Sci-Fi,Red Chillies Entertainment,2022,Kartik Aaryan,379.23,164.39,Kabir Khan
tt91000019,Shadow Empire 115,6.2,61500,2019-03-09,hi,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",73.74,Mystery,Lyca Productions,2022,Ranveer Singh,242.51,257.73,Lokesh Kanagaraj
tt91000020,Burning Promise 363,6.5,593186,2011-03-12,ml,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",64.14,Comedy,Mythri Movie Makers,2006,Akshay Kumar,517.56,2890.55,Shankar
tt91000021,Sacred Promise 392,6.5,57482,2007-02-21,hi,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",64.04,Crime,Hombale Films,2008,Prabhas,154.54,509.45,S. S. Rajamouli
tt91000022,Broken Dream 864,8.6,223528,2022-11-07,ml,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",94.06,Comedy,AGS Entertainment,2011,Shah Rukh Khan,253.9,1610.82,Shankar
tt91000023,Broken Warrior 195,7.0,183214,2005-03-09,hi,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",69.12,Family,Lyca Productions,2016,Ajith Kumar,454.21,944.37,Kabir Khan
tt91000024,Burning Promise 738,4.6,33538,2014-01-30,kn,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",41.85,Romance,Hombale Films,2019,Yash,243.27,161.88,Rohit Shetty
tt91000025,Silent Storm 294,6.2,22975,2024-07-30,hi,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",57.43,Adventure,Hombale Films,2012,Hrithik Roshan,200.85,106.7,Sanjay Leela Bhansali
tt91000026,Dark Mission 689,9.0,110860,2015-01-13,kn,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",99.32,Action,Mythri Movie Makers,2016,Alia Bhatt,61.23,704.23,Rohit Shetty
tt91000027,Royal Echo 250,7.6,353872,2017-03-23,ta,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",70.58,Comedy,Excel Entertainment,2022,Shah Rukh Khan,363.47,1499.65,Atlee
tt91000028,Shadow Warrior 325,6.0,86192,2023-10-29,kn,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",67.26,Comedy,Excel Entertainment,2021,Kiara Advani,329.42,457.49,Trivikram Srinivas
tt91000029,Hidden Border 80,4.6,13770,2010-09-24,ml,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",42.77,Crime,Sun Pictures,2020,Allu Arjun,425.21,129.94,Rohit Shetty
tt91000030,Royal Echo 64,5.8,18011,2024-05-04,ml,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",68.67,Mystery,Red Chillies Entertainment,2010,Vijay,179.33,80.02,Sanjay Leela Bhansali
tt91000031,Eternal Mission 500,6.8,102739,2024-06-30,kn,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",62.85,Sci-Fi,Red Chillies Entertainment,2023,Ajith Kumar,164.57,644.31,Anurag Kashyap
tt91000032,Eternal Warrior 679,6.4,23864,2017-09-03,te,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",73.69,Adventure,Sun Pictures,2000,Ajith Kumar,116.51,173.72,Rajkumar Hirani
tt91000033,Royal Empire 768,8.4,204906,2003-09-03,ta,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",76.4,Drama,Mythri Movie Makers,2008,Ram Charan,350.04,1799.14,Shankar
tt91000034,Burning Promise 578,8.1,187628,2021-03-29,hi,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",75.55,Mystery,Hombale Films,2004,Allu Arjun,265.08,768.96,Sanjay Leela Bhansali
tt91000035,Broken Kingdom 204,6.2,95670,2016-11-01,ml,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",61.24,Mystery,Excel Entertainment,2018,Prabhas,350.84,576.28,Lokesh Kanagaraj
tt91000036,Last Dream 913,8.4,768405,2019-06-12,te,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",87.68,Romance,Mythri Movie Makers,2003,Ranveer Singh,268.8,3486.81,Trivikram Srinivas
tt91000037,Hidden Border 250,5.9,18912,2003-11-20,te,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",68.54,Adventure,Red Chillies Entertainment,2026,Akshay Kumar,393.68,137.19,Trivikram Srinivas
tt91000038,Crimson Promise 248,4.7,10001,2023-03-05,te,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",52.41,Adventure,Excel Entertainment,2000,Kareena Kapoor,203.01,82.41,Sukumar
tt91000039,Last Echo 764,3.9,7884,2023-10-25,ta,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",45.83,Romance,Mythri Movie Makers,2017,Ram Charan,137.62,46.08,Shankar
tt91000040,Hidden Kingdom 604,5.8,31255,2021-09-20,te,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",50.62,Thriller,T-Series,2006,Yash,172.76,356.24,T. J. Gnanavel
tt91000041,Dark Empire 588,5.7,104589,2022-01-07,kn,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",59.12,Comedy,Yash Raj Films,2020,Kartik Aaryan,500.73,1147.97,Rohit Shetty
tt91000042,Eternal Storm 88,6.3,132067,2006-09-10,kn,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",60.55,Mystery,Sun Pictures,2004,Kareena Kapoor,260.37,563.32,Anurag Kashyap
tt91000043,Eternal Empire 625,3.5,4296,2025-07-04,te,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",38.96,Drama,Yash Raj Films,2009,Alia Bhatt,108.67,27.44,Mani Ratnam
tt91000044,Sacred Storm 720,8.5,539706,2012-12-03,ta,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",95.51,Mystery,Dharma Productions,2007,Prabhas,288.93,2839.1,Trivikram Srinivas
tt91000045,Hidden Warrior 767,8.4,302241,2007-06-11,ml,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",77.18,Romance,Lyca Productions,2001,Suriya,307.16,3226.49,Vikram Kumar
tt91000046,Silent Promise 235,7.5,50088,2011-03-26,hi,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",83.22,Adventure,Excel Entertainment,2019,Shah Rukh Khan,229.35,325.04,Vikram Kumar
tt91000047,Last Destiny 687,8.5,312551,2018-04-26,te,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",83.74,Adventure,Dharma Productions,2011,Jr. NTR,149.13,1986.72,Mani Ratnam
tt91000048,Shadow Empire 674,8.0,92998,2018-02-17,te,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",83.18,Family,Excel Entertainment,2024,Ajith Kumar,173.06,811.47,Shankar
tt91000049,Dark Empire 997,7.2,4725,2021-09-28,ta,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",82.77,Family,Excel Entertainment,2022,Deepika Padukone,35.59,47.59,Priyadarshan
tt91000050,Shadow Kingdom 280,5.7,6680,2013-02-02,ml,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",50.78,Family,Lyca Productions,2022,Kartik Aaryan,104.48,64.73,Sukumar
tt91000051,Hidden Empire 290,6.3,110629,2022-10-10,ta,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",71.94,Family,AGS Entertainment,2025,Hrithik Roshan,216.24,463.69,Rohit Shetty
tt91000052,Broken Empire 326,7.7,196880,2010-06-23,ml,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",70.9,Action,Yash Raj Films,2012,Vijay,97.94,880.28,Nelson Dilipkumar
tt91000053,Broken Dream 994,6.2,59316,2006-06-19,te,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",64.24,Crime,Excel Entertainment,2023,Kartik Aaryan,271.98,304.75,Atlee
tt91000054,Eternal Promise 241,6.8,126328,2001-08-11,te,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",60.91,Drama,Yash Raj Films,2017,Salman Khan,338.39,965.01,Rohit Shetty
tt91000055,Last Echo 150,7.0,86207,2016-01-30,ml,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",64.68,Comedy,Hombale Films,2009,Ajith Kumar,78.51,366.56,Anurag Kashyap
tt91000056,Burning Empire 921,9.3,814745,2011-06-15,te,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",94.42,Adventure,Mythri Movie Makers,2014,Kareena Kapoor,474.94,4128.36,Trivikram Srinivas
tt91000057,Dark Mission 391,7.6,354194,2021-09-03,hi,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",83.21,Action,AGS Entertainment,2012,Hrithik Roshan,520.63,1801.73,Vikram Kumar
tt91000058,Hidden Mission 622,8.1,501969,2022-04-13,ta,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",84.46,Comedy,Dharma Productions,2023,Alia Bhatt,274.16,3239.77,Ayan Mukerji
tt91000059,Sacred Echo 180,7.3,66809,2014-08-27,te,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",84.63,Family,Lyca Productions,2009,Kareena Kapoor,222.79,277.78,Sanjay Leela Bhansali
tt91000060,Royal Promise 145,6.8,11720,2005-03-01,te,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",72.15,Sci-Fi,Dharma Productions,2025,Vijay,35.86,60.32,Anurag Kashyap
tt91000061,Royal Empire 635,5.8,170548,2010-06-27,ml,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",55.88,Adventure,Dharma Productions,2021,Akshay Kumar,439.13,708.07,Shankar
tt91000062,Shadow Legacy 398,8.4,169852,2010-07-13,ta,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",89.59,Sci-Fi,Excel Entertainment,2003,Kareena Kapoor,286.07,1331.59,Trivikram Srinivas
tt91000063,Last Promise 703,7.7,785951,2010-08-04,hi,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",81.53,Thriller,Yash Raj Films,2014,Ram Charan,504.71,6772.06,Ayan Mukerji
tt91000064,Crimson Legacy 806,8.0,181907,2014-12-17,te,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",84.41,Thriller,T-Series,2025,Salman Khan,256.3,849.76,Vikram Kumar
tt91000065,Hidden Legacy 113,3.9,15045,2024-03-25,hi,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",33.08,Thriller,Excel Entertainment,2004,Shah Rukh Khan,257.33,99.27,Rajkumar Hirani
tt91000066,Shadow Warrior 112,6.0,38494,2016-03-28,ml,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",54.58,Adventure,Dharma Productions,2014,Prabhas,280.84,252.48,Trivikram Srinivas
tt91000067,Eternal Legacy 68,6.5,39649,2014-06-13,hi,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",72.97,Crime,Red Chillies Entertainment,2002,Akshay Kumar,179.51,258.92,Atlee
tt91000068,Broken Border 910,6.0,114545,2009-08-23,ml,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",65.83,Sci-Fi,Dharma Productions,2023,Jr. NTR,322.11,473.11,Anurag Kashyap
tt91000069,Dark Echo 99,6.3,223908,2003-10-30,ml,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",74.04,Mystery,Yash Raj Films,2002,Kareena Kapoor,488.7,979.85,Ayan Mukerji
tt91000070,Hidden Destiny 107,6.1,23491,2026-12-07,kn,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",61.15,Drama,AGS Entertainment,2009,Alia Bhatt,169.18,198.33,Vikram Kumar
tt91000071,Silent Warrior 952,5.8,109839,2024-12-21,hi,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",51.26,Romance,Dharma Productions,2019,Deepika Padukone,450.3,572.83,Kabir Khan
tt91000072,Crimson Echo 430,5.6,41831,2023-10-18,hi,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",60.41,Crime,Hombale Films,2023,Deepika Padukone,347.54,391.83,Trivikram Srinivas
tt91000073,Royal Warrior 453,6.5,76680,2019-01-08,ml,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",57.64,Crime,AGS Entertainment,2014,Alia Bhatt,196.49,396.46,Sukumar
tt91000074,Crimson Storm 969,5.8,26837,2000-05-05,kn,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",54.19,Crime,Lyca Productions,2001,Allu Arjun,95.61,157.37,Sanjay Leela Bhansali
tt91000075,Sacred Empire 447,7.3,160960,2017-10-23,kn,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",68.54,Mystery,Excel Entertainment,2002,Salman Khan,187.57,658.99,Rajkumar Hirani
tt91000076,Dark Echo 865,6.2,46303,2016-03-25,kn,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",57.15,Sci-Fi,Dharma Productions,2026,Ajith Kumar,231.28,338.92,Mani Ratnam
tt91000077,Crimson Destiny 360,6.8,28562,2022-11-16,ml,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",75.57,Romance,Excel Entertainment,2016,Ranbir Kapoor,121.19,259.39,Atlee
tt91000078,Eternal Border 698,6.0,9553,2025-04-15,te,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",62.64,Adventure,Excel Entertainment,2024,Akshay Kumar,73.36,106.68,Vikram Kumar
tt91000079,Silent Destiny 852,7.3,71287,2001-09-08,ta,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",81.11,Sci-Fi,Lyca Productions,2014,Salman Khan,208.27,455.64,Rohit Shetty
tt91000080,Shadow Legacy 981,6.5,33167,2021-05-02,te,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",68.93,Family,Lyca Productions,2019,Ranbir Kapoor,282.09,196.15,S. S. Rajamouli
tt91000081,Broken Destiny 696,7.9,57191,2017-05-18,ta,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",89.6,Crime,Lyca Productions,2009,Jr. NTR,85.41,298.47,Priyadarshan
tt91000082,Burning Legacy 939,6.8,178420,2026-02-20,kn,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",78.5,Romance,Dharma Productions,2002,Vijay,245.07,894.42,Ayan Mukerji
tt91000083,Shadow Destiny 19,8.1,189272,2018-12-29,kn,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",82.77,Adventure,Red Chillies Entertainment,2020,Deepika Padukone,119.62,884.53,Ayan Mukerji
tt91000084,Eternal Legacy 612,4.7,36182,2015-02-08,ml,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",44.08,Mystery,AGS Entertainment,2001,Deepika Padukone,366.47,185.57,Vetrimaaran
tt91000085,Crimson Code 245,7.3,157334,2020-02-20,kn,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",69.37,Adventure,T-Series,2009,Alia Bhatt,343.39,1462.9,Rohit Shetty
tt91000086,Burning Border 896,5.8,123723,2002-05-04,ta,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",68.88,Drama,Excel Entertainment,2008,Ranbir Kapoor,339.9,801.47,Ayan Mukerji
tt91000087,Broken Empire 406,6.9,20360,2001-03-12,hi,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",64.22,Crime,Hombale Films,2011,Prabhas,129.39,148.62,T. J. Gnanavel
tt91000088,Sacred Legacy 778,8.0,104300,2021-03-11,te,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",73.77,Action,Mythri Movie Makers,2026,Akshay Kumar,139.01,614.54,Nelson Dilipkumar
tt91000089,Silent Mission 430,7.9,137927,2005-06-19,te,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",71.4,Mystery,Mythri Movie Makers,2009,Salman Khan,235.99,1064.94,Priyadarshan
tt91000090,Golden Dream 685,6.8,102323,2018-09-08,hi,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",64.79,Family,Lyca Productions,2018,Ram Charan,243.16,414.64,Lokesh Kanagaraj
tt91000091,Last Mission 751,7.9,220582,2003-01-11,ta,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",80.26,Family,T-Series,2025,Jr. NTR,165.36,893.99,Mani Ratnam
tt91000092,Silent Storm 207,8.0,516397,2020-07-12,te,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",75.64,Romance,Yash Raj Films,2002,Aamir Khan,227.97,2481.97,S. S. Rajamouli
tt91000093,Hidden Promise 819,7.3,150858,2014-11-21,ml,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",81.51,Crime,Dharma Productions,2020,Vijay,513.37,896.49,Ayan Mukerji
tt91000094,Shadow Storm 329,7.4,97262,2008-02-04,te,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",80.41,Romance,AGS Entertainment,2013,Jr. NTR,202.2,623.43,Mani Ratnam
tt91000095,Burning Empire 77,6.8,189982,2012-04-25,te,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",72.43,Comedy,Sun Pictures,2013,Kiara Advani,392.11,1581.62,Vetrimaaran
tt91000096,Eternal Legacy 696,6.1,36541,2001-06-14,ta,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",53.09,Mystery,Excel Entertainment,2018,Ram Charan,102.07,150.2,Trivikram Srinivas
tt91000097,Shadow Promise 269,8.3,61386,2017-05-11,te,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",76.73,Thriller,Lyca Productions,2016,Suriya,96.6,394.34,Kabir Khan
tt91000098,Shadow Code 298,7.9,278367,2002-11-29,kn,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",78.72,Family,Lyca Productions,2022,Deepika Padukone,129.3,1697.53,Rohit Shetty
tt91000099,Golden Warrior 906,6.6,306208,2024-09-29,ml,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",71.32,Adventure,Excel Entertainment,2014,Yash,231.95,1248.28,Lokesh Kanagaraj
tt91000100,Last Legacy 900,4.0,13642,2023-03-17,ta,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",38.04,Family,Lyca Productions,2021,Hrithik Roshan,440.31,126.33,Shankar
tt91000101,Dark Storm 202,4.0,36793,2012-09-27,kn,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",46.04,Drama,Lyca Productions,2016,Ranveer Singh,223.08,191.65,Shankar
tt91000102,Silent Empire 84,6.1,131328,2025-04-13,ml,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",62.45,Mystery,Hombale Films,2026,Hrithik Roshan,278.9,541.27,S. S. Rajamouli
tt91000103,Sacred Empire 162,7.0,124527,2003-04-10,ta,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",81.19,Crime,Lyca Productions,2014,Kartik Aaryan,264.83,550.2,Trivikram Srinivas
tt91000104,Dark Destiny 248,6.1,13434,2025-03-12,ta,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",72.18,Thriller,Lyca Productions,2016,Allu Arjun,103.18,88.92,Trivikram Srinivas
tt91000105,Crimson Legacy 511,6.0,25221,2014-01-10,te,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",52.79,Action,Excel Entertainment,2018,Kartik Aaryan,83.5,140.77,T. J. Gnanavel
tt91000106,Hidden Code 9,5.9,56339,2021-02-09,kn,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",52.36,Sci-Fi,Excel Entertainment,2019,Ranveer Singh,174.46,323.7,Mani Ratnam
tt91000107,Hidden Warrior 697,8.2,203774,2024-08-30,ml,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",86.0,Sci-Fi,Red Chillies Entertainment,2024,Ranveer Singh,176.9,1949.52,Priyadarshan
tt91000108,Silent Legacy 731,4.5,53192,2002-01-12,te,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",48.89,Mystery,AGS Entertainment,2001,Kiara Advani,425.3,362.34,Karan Johar
tt91000109,Shadow Code 502,9.0,674413,2022-10-03,hi,"A crime film about courage, betrayal and redemption that changes the lives of its protagonists.",95.9,Crime,AGS Entertainment,2010,Kartik Aaryan,294.78,3317.25,Vikram Kumar
tt91000110,Burning Warrior 592,5.8,121514,2011-11-29,hi,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",50.59,Family,Mythri Movie Makers,2015,Aamir Khan,274.5,620.85,Anurag Kashyap
tt91000111,Last Echo 156,7.5,92120,2019-10-13,ta,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",74.5,Action,Excel Entertainment,2000,Alia Bhatt,310.12,571.03,Sukumar
tt91000112,Shadow Destiny 693,9.0,451956,2015-05-10,ml,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",95.46,Family,Lyca Productions,2017,Kartik Aaryan,152.4,2261.67,Kabir Khan
tt91000113,Shadow Kingdom 281,7.0,68055,2015-08-24,hi,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",63.3,Sci-Fi,Lyca Productions,2015,Hrithik Roshan,427.46,648.76,Rohit Shetty
tt91000114,Sacred Border 220,6.8,62392,2011-07-03,hi,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",73.16,Drama,Dharma Productions,2014,Allu Arjun,268.7,366.42,Sanjay Leela Bhansali
tt91000115,Sacred Border 103,7.8,247618,2014-10-25,te,"A sci-fi film about courage, betrayal and redemption that changes the lives of its protagonists.",75.76,Sci-Fi,Yash Raj Films,2013,Kareena Kapoor,285.14,1187.59,Atlee
tt91000116,Burning Warrior 238,7.4,242663,2004-01-05,hi,"A action film about courage, betrayal and redemption that changes the lives of its protagonists.",84.25,Action,Yash Raj Films,2024,Aamir Khan,571.58,996.31,Shankar
tt91000117,Eternal Promise 951,4.3,50770,2025-06-23,ml,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",41.8,Adventure,Hombale Films,2009,Suriya,422.16,233.43,Karan Johar
tt91000118,Silent Kingdom 346,7.5,29823,2008-05-08,hi,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",85.35,Family,Hombale Films,2022,Alia Bhatt,161.89,185.05,Rohit Shetty
tt91000119,Royal Storm 977,6.7,102531,2010-07-25,kn,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",67.47,Romance,Hombale Films,2012,Hrithik Roshan,285.5,775.83,Karan Johar
tt91000120,Burning Storm 377,7.3,86008,2005-04-07,kn,"A adventure film about courage, betrayal and redemption that changes the lives of its protagonists.",74.73,Adventure,Mythri Movie Makers,2022,Prabhas,107.38,496.1,Priyadarshan
tt91000121,Burning Warrior 895,6.9,89766,2011-02-06,kn,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",64.33,Mystery,Excel Entertainment,2024,Suriya,92.62,524.24,Lokesh Kanagaraj
tt91000122,Sacred Warrior 501,6.8,46578,2009-03-19,te,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",60.89,Family,Yash Raj Films,2003,Suriya,191.4,351.83,Lokesh Kanagaraj
tt91000123,Eternal Promise 47,5.9,79159,2009-10-10,ml,"A drama film about courage, betrayal and redemption that changes the lives of its protagonists.",63.43,Drama,Lyca Productions,2023,Salman Khan,537.08,768.37,Sukumar
tt91000124,Broken Echo 83,7.5,146640,2020-02-13,te,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",81.7,Comedy,Excel Entertainment,2012,Ram Charan,554.8,660.78,Shankar
tt91000125,Broken Code 389,7.7,395680,2024-06-03,hi,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",77.53,Comedy,Mythri Movie Makers,2021,Suriya,145.17,1818.29,Anurag Kashyap
